,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2122,Liverpool,Divock Origi,BEL,"FW,MF",26,1995,7,0,133,1.5,3,0,3,3,0,0,0,0,2.03,0.0,2.03,2.03,2.03
ENG-Premier League,2122,Liverpool,Fabinho,BRA,MF,27,1993,29,26,2314,25.7,5,1,6,3,2,2,7,0,0.19,0.04,0.23,0.12,0.16
ENG-Premier League,2122,Liverpool,Harvey Elliott,ENG,MF,18,2003,6,4,346,3.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Liverpool,Ibrahima Konaté,FRA,DF,22,1999,11,11,990,11.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Liverpool,James Milner,ENG,"MF,DF",35,1986,24,9,853,9.5,0,1,1,0,0,0,2,0,0.0,0.11,0.11,0.0,0.11
ENG-Premier League,2122,Liverpool,Joe Gomez,ENG,DF,24,1997,8,4,331,3.7,0,1,1,0,0,0,2,0,0.0,0.27,0.27,0.0,0.27
ENG-Premier League,2122,Liverpool,Jordan Henderson,ENG,MF,31,1990,35,29,2597,28.9,2,5,7,2,0,0,3,0,0.07,0.17,0.24,0.07,0.24
ENG-Premier League,2122,Liverpool,Joël Matip,CMR,DF,29,1991,31,31,2790,31.0,3,3,6,3,0,0,2,0,0.1,0.1,0.19,0.1,0.19
ENG-Premier League,2122,Liverpool,Kaide Gordon,ENG,FW,16,2004,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Liverpool,Kostas Tsimikas,GRE,DF,25,1996,13,9,877,9.7,0,2,2,0,0,0,3,0,0.0,0.21,0.21,0.0,0.21
ENG-Premier League,2122,Liverpool,Luis Díaz,COL,FW,24,1997,13,11,958,10.6,4,3,7,4,0,0,0,0,0.38,0.28,0.66,0.38,0.66
ENG-Premier League,2122,Liverpool,Mohamed Salah,EGY,FW,29,1992,35,30,2762,30.7,23,13,36,18,5,6,1,0,0.75,0.42,1.17,0.59,1.01
ENG-Premier League,2122,Liverpool,Naby Keïta,GUI,MF,26,1995,23,14,1173,13.0,3,1,4,3,0,0,3,0,0.23,0.08,0.31,0.23,0.31
ENG-Premier League,2122,Liverpool,Neco Williams,WAL,"DF,MF",20,2001,1,0,8,0.1,0,1,1,0,0,0,0,0,0.0,11.25,11.25,0.0,11.25
ENG-Premier League,2122,Liverpool,Roberto Firmino,BRA,FW,29,1991,20,10,990,11.0,5,4,9,5,0,0,3,0,0.45,0.36,0.82,0.45,0.82
ENG-Premier League,2122,Liverpool,Sadio Mané,SEN,FW,29,1992,34,32,2819,31.3,16,2,18,16,0,0,5,0,0.51,0.06,0.57,0.51,0.57
ENG-Premier League,2122,Liverpool,Takumi Minamino,JPN,FW,26,1995,11,1,186,2.1,3,0,3,3,0,0,1,0,1.45,0.0,1.45,1.45,1.45
ENG-Premier League,2122,Liverpool,Thiago Alcántara,ESP,MF,30,1991,25,17,1534,17.0,1,4,5,1,0,0,2,0,0.06,0.23,0.29,0.06,0.29
ENG-Premier League,2122,Liverpool,Trent Alexander-Arnold,ENG,DF,22,1998,32,32,2853,31.7,2,12,14,2,0,0,2,0,0.06,0.38,0.44,0.06,0.44
ENG-Premier League,2122,Liverpool,Tyler Morton,ENG,MF,18,2002,2,1,66,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Liverpool,Virgil van Dijk,NED,DF,30,1991,34,34,3060,34.0,3,1,4,3,0,0,3,0,0.09,0.03,0.12,0.09,0.12
ENG-Premier League,2122,Manchester City,Aymeric Laporte,ESP,DF,27,1994,33,33,2828,31.4,4,0,4,4,0,0,5,1,0.13,0.0,0.13,0.13,0.13
ENG-Premier League,2122,Manchester City,Benjamin Mendy,FRA,DF,27,1994,1,1,78,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Manchester City,Bernardo Silva,POR,"MF,FW",26,1994,35,33,2857,31.7,8,4,12,8,0,0,6,0,0.25,0.13,0.38,0.25,0.38
ENG-Premier League,2122,Manchester City,CJ Egan-Riley,ENG,DF,18,2003,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Manchester City,Cole Palmer,ENG,FW,19,2002,4,1,123,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Manchester City,Ederson,BRA,GK,27,1993,37,37,3330,37.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Manchester City,Fernandinho,BRA,"MF,DF",36,1985,19,10,964,10.7,2,1,3,2,0,0,1,0,0.19,0.09,0.28,0.19,0.28
ENG-Premier League,2122,Manchester City,Ferrán Torres,ESP,FW,21,2000,4,4,303,3.4,2,1,3,2,0,0,0,0,0.59,0.3,0.89,0.59,0.89
ENG-Premier League,2122,Manchester City,Gabriel Jesus,BRA,FW,24,1997,28,21,1877,20.9,8,8,16,7,1,1,1,0,0.38,0.38,0.77,0.34,0.72
ENG-Premier League,2122,Manchester City,Jack Grealish,ENG,"FW,MF",25,1995,26,22,1914,21.3,3,3,6,3,0,0,3,0,0.14,0.14,0.28,0.14,0.28
ENG-Premier League,2122,Manchester City,James Mcatee,ENG,MF,18,2002,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Manchester City,John Stones,ENG,DF,27,1994,14,12,1119,12.4,1,0,1,1,0,0,0,0,0.08,0.0,0.08,0.08,0.08
ENG-Premier League,2122,Manchester City,João Cancelo,POR,DF,27,1994,36,36,3227,35.9,1,7,8,1,0,0,7,0,0.03,0.2,0.22,0.03,0.22
ENG-Premier League,2122,Manchester City,Kayky Chagas,BRA,MF,18,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Manchester City,Kevin De Bruyne,BEL,MF,30,1991,30,25,2201,24.5,15,8,23,15,0,0,2,0,0.61,0.33,0.94,0.61,0.94
ENG-Premier League,2122,Manchester City,Kyle Walker,ENG,DF,31,1990,20,20,1755,19.5,0,2,2,0,0,0,1,0,0.0,0.1,0.1,0.0,0.1
ENG-Premier League,2122,Manchester City,Liam Delap,ENG,FW,18,2003,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Manchester City,Nathan Aké,NED,DF,26,1995,14,10,923,10.3,2,0,2,2,0,0,0,0,0.2,0.0,0.2,0.2,0.2
ENG-Premier League,2122,Manchester City,Oleksandr Zinchenko,UKR,DF,24,1996,15,10,1047,11.6,0,4,4,0,0,0,0,0,0.0,0.34,0.34,0.0,0.34
ENG-Premier League,2122,Manchester City,Phil Foden,ENG,FW,21,2000,28,24,2128,23.6,9,5,14,9,0,0,1,0,0.38,0.21,0.59,0.38,0.59
ENG-Premier League,2122,Manchester City,Raheem Sterling,ENG,"FW,MF",26,1994,30,23,2128,23.6,13,5,18,11,2,3,1,0,0.55,0.21,0.76,0.47,0.68
ENG-Premier League,2122,Manchester City,Riyad Mahrez,ALG,FW,30,1991,28,15,1498,16.6,11,5,16,7,4,5,0,0,0.66,0.3,0.96,0.42,0.72
ENG-Premier League,2122,Manchester City,Rodri,ESP,MF,25,1996,33,33,2884,32.0,7,2,9,7,0,0,5,0,0.22,0.06,0.28,0.22,0.28
ENG-Premier League,2122,Manchester City,Rúben Dias,POR,DF,24,1997,29,27,2402,26.7,2,4,6,2,0,0,5,0,0.07,0.15,0.22,0.07,0.22
ENG-Premier League,2122,Manchester City,Zack Steffen,USA,GK,26,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Manchester City,İlkay Gündoğan,GER,MF,30,1990,27,20,1857,20.6,8,4,12,8,0,0,1,0,0.39,0.19,0.58,0.39,0.58
ENG-Premier League,2122,Manchester Utd,Aaron Wan-Bissaka,COD,"DF,MF",23,1997,20,20,1793,19.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Manchester Utd,Alejandro Garnacho,ARG,MF,17,2004,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Manchester Utd,Alex Telles,BRA,DF,28,1992,21,18,1660,18.4,0,4,4,0,0,0,1,0,0.0,0.22,0.22,0.0,0.22
ENG-Premier League,2122,Manchester Utd,Anthony Elanga,SWE,MF,19,2002,21,14,1214,13.5,2,2,4,2,0,0,0,0,0.15,0.15,0.3,0.15,0.3
ENG-Premier League,2122,Manchester Utd,Anthony Martial,FRA,"MF,FW",25,1995,8,2,212,2.4,1,0,1,1,0,0,0,0,0.42,0.0,0.42,0.42,0.42
ENG-Premier League,2122,Manchester Utd,Bruno Fernandes,POR,MF,26,1994,36,35,3111,34.6,10,6,16,10,0,2,10,0,0.29,0.17,0.46,0.29,0.46
ENG-Premier League,2122,Manchester Utd,Cristiano Ronaldo,POR,FW,36,1985,30,27,2456,27.3,18,3,21,15,3,3,8,0,0.66,0.11,0.77,0.55,0.66
ENG-Premier League,2122,Manchester Utd,Daniel James,WAL,MF,23,1997,2,2,126,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Manchester Utd,David de Gea,ESP,GK,30,1990,38,38,3420,38.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Manchester Utd,Diogo Dalot,POR,DF,22,1999,24,19,1801,20.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Manchester Utd,Donny van de Beek,NED,MF,24,1997,8,0,75,0.8,1,0,1,1,0,0,0,0,1.2,0.0,1.2,1.2,1.2
ENG-Premier League,2122,Manchester Utd,Edinson Cavani,URU,FW,34,1987,15,7,766,8.5,2,1,3,2,0,0,0,0,0.23,0.12,0.35,0.23,0.35
ENG-Premier League,2122,Manchester Utd,Eric Bailly,CIV,DF,27,1994,4,3,217,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Manchester Utd,Fred,BRA,MF,28,1993,28,24,2028,22.5,4,4,8,4,0,0,5,0,0.18,0.18,0.36,0.18,0.36
ENG-Premier League,2122,Manchester Utd,Hannibal Mejbri,TUN,MF,18,2003,2,1,68,0.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Manchester Utd,Harry Maguire,ENG,DF,28,1993,30,28,2515,27.9,1,0,1,1,0,0,9,1,0.04,0.0,0.04,0.04,0.04
ENG-Premier League,2122,Manchester Utd,Jadon Sancho,ENG,"MF,FW",21,2000,29,20,1900,21.1,3,3,6,3,0,0,0,0,0.14,0.14,0.28,0.14,0.28
ENG-Premier League,2122,Manchester Utd,Jesse Lingard,ENG,MF,28,1992,16,2,367,4.1,2,0,2,2,0,0,1,0,0.49,0.0,0.49,0.49,0.49
ENG-Premier League,2122,Manchester Utd,Juan Mata,ESP,MF,33,1988,7,2,235,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Manchester Utd,Luke Shaw,ENG,"DF,MF",26,1995,20,19,1601,17.8,0,3,3,0,0,0,8,0,0.0,0.17,0.17,0.0,0.17
ENG-Premier League,2122,Manchester Utd,Marcus Rashford,ENG,"MF,FW",23,1997,25,13,1235,13.7,4,2,6,4,0,0,2,0,0.29,0.15,0.44,0.29,0.44
ENG-Premier League,2122,Manchester Utd,Mason Greenwood,ENG,"MF,FW",19,2001,18,16,1271,14.1,5,1,6,5,0,0,1,0,0.35,0.07,0.42,0.35,0.42
ENG-Premier League,2122,Manchester Utd,Nemanja Matić,SRB,MF,32,1988,23,16,1382,15.4,0,4,4,0,0,0,3,0,0.0,0.26,0.26,0.0,0.26
ENG-Premier League,2122,Manchester Utd,Paul Pogba,FRA,MF,28,1993,20,16,1349,15.0,1,9,10,1,0,0,7,1,0.07,0.6,0.67,0.07,0.67
ENG-Premier League,2122,Manchester Utd,Phil Jones,ENG,DF,29,1992,4,2,163,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Manchester Utd,Raphaël Varane,FRA,DF,28,1993,22,20,1831,20.3,1,1,2,1,0,0,0,0,0.05,0.05,0.1,0.05,0.1
ENG-Premier League,2122,Manchester Utd,Scott McTominay,SCO,MF,24,1996,30,28,2387,26.5,1,1,2,1,0,0,9,0,0.04,0.04,0.08,0.04,0.08
ENG-Premier League,2122,Manchester Utd,Shola Shoretire,ENG,"FW,MF",17,2004,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Manchester Utd,Victor Lindelöf,SWE,DF,27,1994,28,26,2355,26.2,0,2,2,0,0,0,4,0,0.0,0.08,0.08,0.0,0.08
ENG-Premier League,2122,Newcastle United,Allan Saint-Maximin,FRA,"FW,MF",24,1997,35,31,2804,31.2,5,5,10,5,0,0,6,0,0.16,0.16,0.32,0.16,0.32
ENG-Premier League,2122,Newcastle United,Bruno Guimarães,BRA,MF,23,1997,17,11,1034,11.5,5,1,6,5,0,0,4,0,0.44,0.09,0.52,0.44,0.52
ENG-Premier League,2122,Newcastle United,Callum Wilson,ENG,FW,29,1992,18,16,1386,15.4,8,0,8,6,2,2,4,0,0.52,0.0,0.52,0.39,0.39
ENG-Premier League,2122,Newcastle United,Chris Wood,NZL,FW,29,1991,17,15,1327,14.7,2,0,2,1,1,1,0,0,0.14,0.0,0.14,0.07,0.07
ENG-Premier League,2122,Newcastle United,Ciaran Clark,IRL,DF,31,1989,13,12,1014,11.3,0,1,1,0,0,0,2,1,0.0,0.09,0.09,0.0,0.09
ENG-Premier League,2122,Newcastle United,Dan Burn,ENG,DF,29,1992,16,16,1440,16.0,0,1,1,0,0,0,4,0,0.0,0.06,0.06,0.0,0.06
ENG-Premier League,2122,Newcastle United,Dwight Gayle,ENG,FW,30,1990,8,0,38,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Newcastle United,Emil Krafth,SWE,DF,26,1994,20,18,1634,18.2,0,1,1,0,0,0,5,0,0.0,0.06,0.06,0.0,0.06
ENG-Premier League,2122,Newcastle United,Fabian Schär,SUI,DF,29,1991,25,25,2158,24.0,2,2,4,2,0,0,4,0,0.08,0.08,0.17,0.08,0.17
ENG-Premier League,2122,Newcastle United,Federico Fernández,ARG,DF,32,1989,7,5,523,5.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Newcastle United,Freddie Woodman,ENG,GK,24,1997,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Newcastle United,Isaac Hayden,JAM,"MF,DF",26,1995,14,12,1002,11.1,1,0,1,1,0,0,5,0,0.09,0.0,0.09,0.09,0.09
ENG-Premier League,2122,Newcastle United,Jacob Murphy,ENG,"FW,MF",26,1995,33,13,1473,16.4,1,2,3,1,0,0,4,0,0.06,0.12,0.18,0.06,0.18
ENG-Premier League,2122,Newcastle United,Jamaal Lascelles,ENG,DF,27,1993,26,22,2058,22.9,1,0,1,1,0,0,5,0,0.04,0.0,0.04,0.04,0.04
ENG-Premier League,2122,Newcastle United,Jamal Lewis,NIR,DF,23,1998,5,4,262,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2122,Newcastle United,Javier Manquillo,ESP,DF,27,1994,19,15,1257,14.0,1,2,3,1,0,0,5,0,0.07,0.14,0.21,0.07,0.21
